url,id,title,description,projects,labels,assignees,milestone,status
https://github.com/blackbaud/skyux2/issues/656,656,"Page never loads inIE 10 and lower.   Can we show messaging to user?","I know we don't support IE10 but it is confusing to users who try to access the page on it and see nothing load.  Can host service embed some basic HTML to show a warning banner for IE10 to inform the user that they're browser isn't supported?  We did this in the old version of the sign in site so we can point you to sample code around it.  Something like this:

```
<!--[if lte IE 10]>
    BANNER HERE
<![endif]-->
```",projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/651,651,"Add folder that prevents code coverage from processing files","In src/app",projects,"builder","Blackbaud-PaulCrowder",,open,undefined
https://github.com/blackbaud/skyux2/issues/650,650,"Add appropriate karma timeouts to Builder CI builds","Right now we just use the karma 10 second defaults. We should adjust this up like we do with our Browserstack builds.",projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/649,649,"Document static assets","Document where to create the assets folder and how to reference them using ~/assets/

https://github.com/blackbaud/skyux2/issues/555

",projects,"documentation","blackbaud-johnly",Block 3 Sprint 2 - 5/5/2017,open,undefined
https://github.com/blackbaud/skyux2/issues/648,648,"Update hosting docs to reflect new self-provisioning site",,projects,"documentation","blackbaud-johnly",Block 3 Sprint 2 - 5/5/2017,open,undefined
https://github.com/blackbaud/skyux2/issues/647,647,"Convert docs to use Stache 2 components",,projects,"documentation","blackbaud-johnly",Block 3 Sprint 2 - 5/5/2017,open,undefined
https://github.com/blackbaud/skyux2/issues/646,646,"Skyux CLI project does not work on Win10 IE11 ","Following the steps in the tutorial for a new cli project, after you skyux new up a project and do skyux serve, on IE11 the page just keeps reloading indefinitely.",projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/645,645,"File attachments file-drop component without `allowLinks` is off center","### Expected behavior
'Drag a file here' button is either centered, or resized to fill a similar width to the file-items below.
### Actual behavior
'Drag a file here' button remains the same size, leaving empty space to the right.
### Steps to reproduce
Using a file attachments component without `allowLinks`, with or without an uploaded file, button position/size is off center.
### Plunker 
https://plnkr.co/edit/ftclZUafkKTyxNajaIhA?p=preview",projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/644,644,"Publish help-client to NPM",,projects,"builder","Blackbaud-SteveBrush",,closed,undefined
https://github.com/blackbaud/skyux2/issues/643,643,"Add debug flag to `skyux watch` that disables code coverage","When the `istanbul-instrument-loader` is added to the Webpack config, the instrumented code becomes unreadable.  This is usually fine except for when trying to debug through the original code by navigating to `http://localhost:9876/debug.html` while `skyux watch` is running.  We should add some kind of command line argument (maybe `--debug` or `--no-coverage`) to disable this Webpack loader so that the code becomes readable again and can be stepped through in the browser.",projects,"builder,documentation,enhancement,intermediate","",,open,undefined
https://github.com/blackbaud/skyux2/issues/642,642,"SKY UX apps now showing transpiled JavaScript rather than TypeScript in debugger","Somewhere along the way an update to SKY UX and/or Builder caused the transpiled JavaScript to be shown in the browser's debugger rather than the original TypeScript.",projects,"bug,builder,intermediate","Blackbaud-SteveBrush",,open,undefined
https://github.com/blackbaud/skyux2/issues/638,638,"Explore fixing coverage reports after screenshots that are automatically committed back","Baseline screenshots are automatically committed back with `[ci skip]` in the commit message.  This is fine, but because of the skip, a code coverage report is not uploaded (since the commit does not run in Travis.

This means a pull request branched from this commit with cause codedov to display an error saying ""No report found to compare against.""

We should explore fixing this as it happens frequently enough to be annoying.  FYI, this behavior also happens in SKY UX, even more frequently, since `dist/` is committed back.",projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/637,637,"Sky-wait blocked element isn't obscured by modal mask","### Expected behavior
Sky-wait appears under the modal, darkened by the mask.
### Actual behavior
Sky-wait appears above the modal and mask.
### Steps to reproduce
With an element with a blocking sky-wait on the page, open a modal on the page. Sky-wait also blocks interacting with elements on the modal, under the wait mask.
### Plunker 
https://plnkr.co/edit/i4DgdS0CKCbKEsaiX8A0?p=preview",projects,"bug,sky-wait","",,open,undefined
https://github.com/blackbaud/skyux2/issues/635,635,"Modal Tab Behavior Different Than Sky UX 1","### Expected behavior
In Sky UX 1 when you tab throughout a modal when it reaches the end of the contents it will tab back up to the top of the modal.

### Actual behavior
In Sky UX 2 when you tab to the end of the modal it will tab into the address bar of the browser and then will tab through things behind the modal before it tabs back to the top of the modal

### Steps to reproduce
Visible on the respective docs pages for the Sky UX 1 and Sky UX 2 modals.",projects,"bug,sky-modal","",,open,undefined
https://github.com/blackbaud/skyux2/issues/634,634,"Need ability to extend skyux-builder configs","### Expected behavior
Would expect to be able to control certain config settings such as:

- karma's browser timeouts
- folders which istanbul-instrument-loader looks at or
- folders which istanbul gives coverage for

### Actual behavior

- cannot do any of this.  At one point we could, but it seems files at the root level of the SPA are now
being ignored.

### Steps to reproduce
- try to extend an config.  An example of what we tried is this:
```
function getConfig(config) {

  require('../node_modules/@blackbaud/skyux-builder/config/karma/shared.karma.conf')(config);
  config..set({
    client: {
      captureConsole: false
    },
    browserDisconnectTimeout: 25000,
    browserNoActivityTimeout: 25000
  });
}

module.exports = getConfig;
```",projects,"builder","",,closed,undefined
https://github.com/blackbaud/skyux2/issues/633,633,"Address internal/external content on documentation site","Review Learn section of the site and remove any content that is clearly only intended for internal use. I think this will mostly be hosting-related content. Move this content to the engineering systems website. Flag any other questionable content and review with the team where to store the documentation.

Leave builder-related content in place, and add a note to call out that while builder is public, it is not open source. Possibly include some sort of contact info for third-party users who are interested in the builder functionality.",projects,"documentation","blackbaud-johnly",Block 3 Sprint 2 - 5/5/2017,open,undefined
